"model","dist","n","parameter","Me_err","Mpe_err","Me","Mpe"
1,"std",100,"omega",-0.119660805579227,-0.119660805579227,0.0383269696050541,0.0383269696050541
1,"std",250,"omega",0.120972146972988,0.120972146972988,0.0800342247475412,0.0800342247475412
1,"std",500,"omega",0.0173440411472865,0.0173440411472865,0.0960897089232486,0.0960897089232486
1,"std",1000,"omega",0.114367952236921,0.114367952236921,0.0258443573212781,0.0258443573212781
1,"std",2500,"omega",0.0352568869050023,0.0352568869050023,0.00784705536348418,0.00784705536348418
1,"std",5000,"omega",0.0234478784079777,0.0234478784079777,0.013821726424373,0.013821726424373
1,"std",10000,"omega",0.00994685079503044,0.00994685079503044,0.0101591609484342,0.0101591609484342
1,"std",100,"alpha",-0.0817097712615054,-0.204274428153764,-0.109109446279979,-0.272773615699948
1,"std",250,"alpha",-0.0482787542194189,-0.120696885548547,-0.0436181002718296,-0.109045250679574
1,"std",500,"alpha",0.0140963005667799,0.0352407514169498,-0.0029537798955564,-0.00738444973889099
1,"std",1000,"alpha",0.00106929113520354,0.00267322783800886,-0.00538859949991344,-0.0134714987497836
1,"std",2500,"alpha",-0.00457797432153806,-0.0114449358038451,-0.0117081030955941,-0.0292702577389853
1,"std",5000,"alpha",-0.000440275817659874,-0.00110068954414969,0.00144413997648918,0.00361034994122295
1,"std",10000,"alpha",0.00328520047622205,0.00821300119055512,0.00050875309669518,0.00127188274173795
1,"std",100,"beta",0.0958839444645215,0.191767888929043,0.0838726303463774,0.167745260692755
1,"std",250,"beta",0.00855671287565063,0.0171134257513013,0.0255956381126649,0.0511912762253297
1,"std",500,"beta",-0.0168860709636466,-0.0337721419272932,-0.00961128732282263,-0.0192225746456453
1,"std",1000,"beta",-0.0243052050765969,-0.0486104101531938,-0.00026122678828272,-0.00052245357656544
1,"std",2500,"beta",-0.00617389486144104,-0.0123477897228821,0.00583226079156063,0.0116645215831213
1,"std",5000,"beta",-0.00497310856349764,-0.00994621712699528,-0.00387887068526505,-0.00775774137053009
1,"std",10000,"beta",-0.00394831359704018,-0.00789662719408035,-0.00324475062478935,-0.0064895012495787
2,"std",100,"omega",-0.37032233196422,-0.37032233196422,-0.275157602093249,-0.275157602093249
2,"std",250,"omega",-0.0457119718391171,-0.0457119718391171,-0.0690270437144205,-0.0690270437144205
2,"std",500,"omega",-0.0233282854774254,-0.0233282854774254,-0.00169552480205681,-0.00169552480205681
2,"std",1000,"omega",0.0290375489908836,0.0290375489908836,0.000925115245974606,0.000925115245974606
2,"std",2500,"omega",0.0173740715300092,0.0173740715300092,0.0139542342423953,0.0139542342423953
2,"std",5000,"omega",-0.0180333713564339,-0.0180333713564339,0.00933458349413918,0.00933458349413918
2,"std",10000,"omega",0.00325659565195369,0.00325659565195369,-0.00426502209291901,-0.00426502209291901
2,"std",100,"alpha",-0.3486591065344,-0.435823883168,-0.293124098231713,-0.366405122789642
2,"std",250,"alpha",-0.104532191018052,-0.130665238772565,-0.0655670456566754,-0.0819588070708442
2,"std",500,"alpha",-0.0450042810400731,-0.0562553513000914,-0.056082124801536,-0.0701026560019199
2,"std",1000,"alpha",-0.016181889784876,-0.020227362231095,-0.00664556267156291,-0.00830695333945364
2,"std",2500,"alpha",-0.0184567991854115,-0.0230709989817644,-0.00316325329580691,-0.00395406661975864
2,"std",5000,"alpha",0.00453149590484225,0.00566436988105282,-0.0036626234475674,-0.00457827930945925
2,"std",10000,"alpha",-0.00411270835620137,-0.00514088544525171,0.000868909595934664,0.00108613699491833
2,"std",100,"beta",0.351989668685574,3.51989668685574,0.302512927906567,3.02512927906567
2,"std",250,"beta",0.0708878864161479,0.708878864161479,0.0674575947382735,0.674575947382735
2,"std",500,"beta",0.0251322998159262,0.251322998159262,0.0260294176076001,0.260294176076001
2,"std",1000,"beta",-0.0137466779444682,-0.137466779444682,-0.00302360744322845,-0.0302360744322845
2,"std",2500,"beta",0.00204492071441589,0.0204492071441589,-0.0015248511530366,-0.015248511530366
2,"std",5000,"beta",0.0031476840804969,0.031476840804969,-0.00196197249862903,-0.0196197249862903
2,"std",10000,"beta",0.00209873237184428,0.0209873237184428,0.000478606363229564,0.00478606363229564
3,"std",100,"omega",-0.287688767707767,-0.287688767707767,0.0421551148479622,0.0421551148479622
3,"std",250,"omega",-0.182060514146668,-0.182060514146668,0.0208626761297752,0.0208626761297752
3,"std",500,"omega",0.0900280436980503,0.0900280436980503,-0.0369715572369116,-0.0369715572369116
3,"std",1000,"omega",0.189398015370741,0.189398015370741,0.0624231575723695,0.0624231575723695
3,"std",2500,"omega",0.082411032537633,0.082411032537633,-0.0123209754387928,-0.0123209754387928
3,"std",5000,"omega",0.0095074758295417,0.0095074758295417,0.000162241016584908,0.000162241016584908
3,"std",10000,"omega",0.0103250749724848,0.0103250749724848,0.0203217373491611,0.0203217373491611
3,"std",100,"alpha",-0.0308336205572847,-0.308336205572847,-0.0352730053016022,-0.352730053016022
3,"std",250,"alpha",-0.014417181624241,-0.14417181624241,-0.0160898367778659,-0.160898367778659
3,"std",500,"alpha",0.0125875856341911,0.125875856341911,-0.0121727657418634,-0.121727657418634
3,"std",1000,"alpha",0.00785887603678062,0.0785887603678062,-0.00123129438206861,-0.0123129438206861
3,"std",2500,"alpha",0.00456657739242118,0.0456657739242118,-0.00558689108606038,-0.0558689108606038
3,"std",5000,"alpha",-0.00265028189565324,-0.0265028189565324,4.63407719681619e-05,0.000463407719681619
3,"std",10000,"alpha",0.00211665958117699,0.0211665958117699,-0.00101829131822034,-0.0101829131822034
3,"std",100,"beta",0.0811071472704744,0.101383934088093,0.0409399318887684,0.0511749148609605
3,"std",250,"beta",0.0372989077321986,0.0466236346652482,0.0197845269010459,0.0247306586263074
3,"std",500,"beta",-0.0173194140852657,-0.0216492676065821,0.0150313692425954,0.0187892115532443
3,"std",1000,"beta",-0.0251211123899789,-0.0314013904874737,-0.00738172182966779,-0.00922715228708473
3,"std",2500,"beta",-0.0130091028345471,-0.0162613785431839,0.00524621763095579,0.00655777203869473
3,"std",5000,"beta",0.000766823281645235,0.000958529102056543,0.00101954015519223,0.00127442519399029
3,"std",10000,"beta",-0.00341551301371812,-0.00426939126714765,-0.00138515292413965,-0.00173144115517457
1,"snorm",100,"omega",0.145202557683675,0.145202557683675,0.0438095065160595,0.0438095065160595
1,"snorm",250,"omega",0.127595938791597,0.127595938791597,0.0285220894570675,0.0285220894570675
1,"snorm",500,"omega",0.184437708025311,0.184437708025311,-0.0187825832728421,-0.0187825832728421
1,"snorm",1000,"omega",0.00252530254599526,0.00252530254599526,0.011161697809166,0.011161697809166
1,"snorm",2500,"omega",0.00167063444414373,0.00167063444414373,0.015050184606737,0.015050184606737
1,"snorm",5000,"omega",-0.00389253277910806,-0.00389253277910806,-0.000426521728566165,-0.000426521728566165
1,"snorm",10000,"omega",0.0104267130537585,0.0104267130537585,-0.00382224297473155,-0.00382224297473155
1,"snorm",100,"alpha",-0.0525483323330901,-0.131370830832725,-0.0117787390019051,-0.0294468475047628
1,"snorm",250,"alpha",-0.0289435016682967,-0.0723587541707418,-0.00307704769340478,-0.00769261923351194
1,"snorm",500,"alpha",0.00343629069416135,0.00859072673540337,-0.00513461604153198,-0.01283654010383
1,"snorm",1000,"alpha",-0.00895245153087137,-0.0223811288271784,-0.00238533311178168,-0.00596333277945421
1,"snorm",2500,"alpha",-0.00762326054265311,-0.0190581513566328,0.00156306492299674,0.00390766230749184
1,"snorm",5000,"alpha",-0.00422659602668246,-0.0105664900667062,-0.00218923002260751,-0.00547307505651878
1,"snorm",10000,"alpha",-9.91974550385022e-06,-2.47993637596255e-05,0.000256673031664156,0.000641682579160391
1,"snorm",100,"beta",0.0301987903439602,0.0603975806879204,-0.00284194878474758,-0.00568389756949517
1,"snorm",250,"beta",-0.00533217310715661,-0.0106643462143132,-0.0107139623106107,-0.0214279246212215
1,"snorm",500,"beta",-0.038637309637648,-0.077274619275296,0.00163668682877727,0.00327337365755453
1,"snorm",1000,"beta",0.00334368276590891,0.00668736553181781,-0.00201977676327242,-0.00403955352654484
1,"snorm",2500,"beta",0.00106921100982482,0.00213842201964964,-0.002449690135644,-0.004899380271288
1,"snorm",5000,"beta",0.00170957709815334,0.00341915419630667,0.00160066112291912,0.00320132224583825
1,"snorm",10000,"beta",-0.00127139654427194,-0.00254279308854388,0.000311371009094841,0.000622742018189681
2,"snorm",100,"omega",-0.0933835735469439,-0.0933835735469439,-0.0823628445628105,-0.0823628445628105
2,"snorm",250,"omega",-0.0231160138053995,-0.0231160138053995,0.0289073609339876,0.0289073609339876
2,"snorm",500,"omega",0.0122513431372568,0.0122513431372568,0.00689322691302019,0.00689322691302019
2,"snorm",1000,"omega",0.01255461937188,0.01255461937188,0.00237456873400577,0.00237456873400577
2,"snorm",2500,"omega",-0.00239060495497478,-0.00239060495497478,0.0026672251980655,0.0026672251980655
2,"snorm",5000,"omega",-0.00508928139157228,-0.00508928139157228,0.000681120350720876,0.000681120350720876
2,"snorm",10000,"omega",-0.00028895405678464,-0.00028895405678464,0.00194767682560304,0.00194767682560304
2,"snorm",100,"alpha",-0.185605539777641,-0.232006924722051,-0.123949843154752,-0.15493730394344
2,"snorm",250,"alpha",-0.0530356027477529,-0.0662945034346911,-0.0216384893868045,-0.0270481117335056
2,"snorm",500,"alpha",-0.00364334978057679,-0.00455418722572098,-0.0137239778707947,-0.0171549723384934
2,"snorm",1000,"alpha",0.00246494740090197,0.00308118425112747,-0.00462727185623502,-0.00578408982029377
2,"snorm",2500,"alpha",0.00734801952798203,0.00918502440997754,-0.000266607835884836,-0.000333259794856045
2,"snorm",5000,"alpha",-0.004659341224724,-0.005824176530905,-0.000183442212506102,-0.000229302765632627
2,"snorm",10000,"alpha",-0.00221368419621326,-0.00276710524526658,-0.000755105724687177,-0.000943882155858972
2,"snorm",100,"beta",0.166417691013535,1.66417691013535,0.0957071357239704,0.957071357239704
2,"snorm",250,"beta",0.0273120927523745,0.273120927523745,-0.00148871838005875,-0.0148871838005875
2,"snorm",500,"beta",-0.00189514515244253,-0.0189514515244253,0.00372040492918814,0.0372040492918814
2,"snorm",1000,"beta",-0.00639632788041372,-0.0639632788041372,-5.38976519527529e-05,-0.000538976519527529
2,"snorm",2500,"beta",-0.00340110737609793,-0.0340110737609793,-0.00231261333016158,-0.0231261333016158
2,"snorm",5000,"beta",0.00167936161380999,0.0167936161380999,-0.000380894577593271,-0.00380894577593271
2,"snorm",10000,"beta",0.00112526545591141,0.0112526545591141,0.000151814733301642,0.00151814733301642
3,"snorm",100,"omega",-0.202284204169041,-0.202284204169041,0.412336782525988,0.412336782525988
3,"snorm",250,"omega",-0.0652494936669035,-0.0652494936669035,0.101999078449185,0.101999078449185
3,"snorm",500,"omega",0.0592469097501478,0.0592469097501478,0.0110046187529791,0.0110046187529791
3,"snorm",1000,"omega",0.1687182754653,0.1687182754653,0.0178857483614439,0.0178857483614439
3,"snorm",2500,"omega",0.154217102276854,0.154217102276854,0.0226284629287157,0.0226284629287157
3,"snorm",5000,"omega",0.0279420800608479,0.0279420800608479,0.00402774694169517,0.00402774694169517
3,"snorm",10000,"omega",0.0339137698555911,0.0339137698555911,0.00540105544445812,0.00540105544445812
3,"snorm",100,"alpha",-0.0164371673008115,-0.164371673008115,0.00514684514601718,0.0514684514601718
3,"snorm",250,"alpha",-0.00833072182924913,-0.0833072182924913,-0.00466237975023348,-0.0466237975023348
3,"snorm",500,"alpha",-0.00323195667494144,-0.0323195667494144,-0.00109587192474711,-0.0109587192474711
3,"snorm",1000,"alpha",7.84867833036468e-05,0.000784867833036468,-0.00254679495068688,-0.0254679495068688
3,"snorm",2500,"alpha",0.00487515063751247,0.0487515063751247,0.000866056069551702,0.00866056069551702
3,"snorm",5000,"alpha",0.000828664314949781,0.00828664314949781,0.00056075117391037,0.0056075117391037
3,"snorm",10000,"alpha",0.000777448790001425,0.00777448790001425,0.000265169701163248,0.00265169701163248
3,"snorm",100,"beta",0.0590413538079755,0.0738016922599694,-0.053333414969948,-0.066666768712435
3,"snorm",250,"beta",0.0208698402898829,0.0260873003623537,-0.00808327369041661,-0.0101040921130208
3,"snorm",500,"beta",-0.00158022474047415,-0.00197528092559268,-0.00297573996593092,-0.00371967495741365
3,"snorm",1000,"beta",-0.0180765084307828,-0.0225956355384785,-0.000900080602511677,-0.0011251007531396
3,"snorm",2500,"beta",-0.0212942223423536,-0.026617777927942,-0.00299472271309043,-0.00374340339136303
3,"snorm",5000,"beta",-0.00400989057340373,-0.00501236321675466,-0.000900824469945327,-0.00112603058743166
3,"snorm",10000,"beta",-0.00404662092166064,-0.0050582761520758,-0.000618281814118715,-0.000772852267648394
