"model","n","parameter","Me","Mpe","std"
1,100,"omega",0.0394699357555337,0.0394699357555337,0.903229115372224
1,250,"omega",0.140474523954106,0.140474523954106,0.53700474885298
1,500,"omega",0.0736992678319779,0.0736992678319779,0.336655566601905
1,1000,"omega",0.0347471487250643,0.0347471487250643,0.210167049154486
1,2500,"omega",0.0128538320697174,0.0128538320697174,0.127415735908465
1,5000,"omega",0.00826350773928985,0.00826350773928985,0.0908249741187019
1,10000,"omega",0.0029329577137982,0.0029329577137982,0.0622056233479745
1,100,"alpha",-0.060934414634923,-0.152336036587307,0.217736600901002
1,250,"alpha",-0.00897573316317213,-0.0224393329079303,0.120759375833571
1,500,"alpha",0.000655982103868746,0.00163995525967187,0.078872805240961
1,1000,"alpha",-0.000216841256817979,-0.000542103142044947,0.0542254901400036
1,2500,"alpha",-3.11437681937421e-05,-7.78594204843552e-05,0.0342866005439149
1,5000,"alpha",-0.000183620171229582,-0.000459050428073954,0.0240563076975575
1,10000,"alpha",-0.000569922574836679,-0.0014248064370917,0.017160810181011
1,100,"beta",0.0497324041410476,0.0994648082820953,0.273876357899117
1,250,"beta",-0.0169234579034612,-0.0338469158069223,0.141779890947817
1,500,"beta",-0.0133606356034416,-0.0267212712068832,0.0854085343219949
1,1000,"beta",-0.0064063593504286,-0.0128127187008572,0.0544813643658834
1,2500,"beta",-0.00202830768771761,-0.00405661537543522,0.0331920587272383
1,5000,"beta",-0.00163073967419186,-0.00326147934838372,0.0234483834142154
1,10000,"beta",-0.000164007154415113,-0.000328014308830227,0.0164137017373159
2,100,"omega",-0.152786198553408,-0.152786198553408,0.501939696547143
2,250,"omega",0.000141872908460794,0.000141872908460794,0.278550375995522
2,500,"omega",0.0227724906338478,0.0227724906338478,0.166028263200271
2,1000,"omega",0.0134326092270973,0.0134326092270973,0.117407250113223
2,2500,"omega",0.000740032050761341,0.000740032050761341,0.0720312877773469
2,5000,"omega",0.00274126159913535,0.00274126159913535,0.0512754888026609
2,10000,"omega",0.00180201788263568,0.00180201788263568,0.0359057541864377
2,100,"alpha",-0.172017496192226,-0.215021870240282,0.325846965280664
2,250,"alpha",-0.0468285778156227,-0.0585357222695283,0.179012651526808
2,500,"alpha",-0.0127591221674795,-0.0159489027093494,0.102108842786778
2,1000,"alpha",-0.0055148679437772,-0.0068935849297215,0.0752333681085947
2,2500,"alpha",9.24358242420098e-05,0.000115544780302512,0.0483885679213451
2,5000,"alpha",-0.00076567658158333,-0.000957095726979162,0.0347273004695119
2,10000,"alpha",-0.00105522271840131,-0.00131902839800163,0.0242188009724835
2,100,"beta",0.157252759964273,1.57252759964273,0.347719594420814
2,250,"beta",0.0199872989761276,0.199872989761276,0.160946738152594
2,500,"beta",-0.00392108963029159,-0.0392108963029159,0.0551545127557387
2,1000,"beta",-0.00249835292626195,-0.0249835292626195,0.0364973550841577
2,2500,"beta",-0.000384368675954441,-0.00384368675954441,0.0224076479486456
2,5000,"beta",-0.000545846241569239,-0.00545846241569239,0.015726263913998
2,10000,"beta",-0.000375166906676119,-0.00375166906676119,0.0111971347920188
3,100,"omega",-0.343407471302576,-0.343407471302576,1.30583879666624
3,250,"omega",-0.0554654132299242,-0.0554654132299242,1.24205932514383
3,500,"omega",0.117463780738426,0.117463780738426,0.965598172308691
3,1000,"omega",0.116135150325332,0.116135150325332,0.578722426347859
3,2500,"omega",0.0735884214036222,0.0735884214036222,0.311405440166606
3,5000,"omega",0.0312837695687678,0.0312837695687678,0.199651846630538
3,10000,"omega",0.0163689347311669,0.0163689347311669,0.137357338760267
3,100,"alpha",-0.0359478713593767,-0.359478713593767,0.100144664736131
3,250,"alpha",-0.0173450670082224,-0.173450670082224,0.0765484305252773
3,500,"alpha",-0.00643769874634184,-0.0643769874634184,0.054257574377697
3,1000,"alpha",-0.000485578937470893,-0.00485578937470893,0.0335137999119995
3,2500,"alpha",0.000746145165893095,0.00746145165893095,0.0181678160167053
3,5000,"alpha",0.000305768146291421,0.00305768146291421,0.0128895378002027
3,10000,"alpha",-8.35962945292534e-05,-0.000835962945292534,0.00879969209544066
3,100,"beta",0.0752369382590202,0.0940461728237753,0.1987847709534
3,250,"beta",0.024533882541536,0.03066735317692,0.186321148179352
3,500,"beta",-0.00558460846860487,-0.00698076058575609,0.140798199052707
3,1000,"beta",-0.0115451308456069,-0.0144314135570087,0.0828095733222533
3,2500,"beta",-0.00837535308552384,-0.0104691913569048,0.0426540200617237
3,5000,"beta",-0.00353452659339626,-0.00441815824174532,0.0285002466532771
3,10000,"beta",-0.00162696137299756,-0.00203370171624695,0.0195017983191139
