"model","dist","n","parameter","std"
1,"std",100,"omega",0.758746591010119
1,"std",100,"omega",8.21672272605851e-05
1,"std",100,"omega",0.287499533579996
1,"std",100,"omega",0.0447233898061029
1,"std",100,"omega",0.381419881202315
1,"std",100,"omega",2.52833474735487
1,"std",100,"omega",0.675457950318985
1,"std",100,"omega",0.595737126613464
1,"std",100,"omega",0.78819906401979
1,"std",100,"omega",0.237876575808029
1,"std",100,"omega",0.114945292222457
1,"std",100,"omega",0.922498397169439
1,"std",100,"omega",0.733333831759111
1,"std",100,"omega",0.000147285709750125
1,"std",100,"omega",0.234363607635367
1,"std",100,"omega",1.21326411722834
1,"std",100,"omega",0.496629893722401
1,"std",100,"omega",0.000553491875966047
1,"std",100,"omega",0.767816162519986
1,"std",100,"omega",1.35743663913211
1,"std",100,"omega",4.50734917917616
1,"std",100,"omega",0.000189421578668202
1,"std",100,"omega",0.918421477845153
1,"std",100,"omega",0.180690991821334
1,"std",100,"omega",0.803550897777744
1,"std",100,"omega",2.84275056175669
1,"std",100,"omega",0.761084273619123
1,"std",100,"omega",0.190750834734215
1,"std",100,"omega",0.20819930554646
1,"std",100,"omega",0.288644859747472
1,"std",100,"omega",0.426436835714449
1,"std",100,"omega",0.704060237547349
1,"std",100,"omega",0.634326313368975
1,"std",100,"omega",0.255287151022848
1,"std",100,"omega",0.26347787876754
1,"std",100,"omega",0.667948801488411
1,"std",100,"omega",0.532305139456323
1,"std",100,"omega",1.17532406468168
1,"std",100,"omega",3.76468257310475
1,"std",100,"omega",0.0990235206472389
1,"std",100,"omega",0.35479046995448
1,"std",100,"omega",0.263890871908753
1,"std",100,"omega",0.910871710367806
1,"std",100,"omega",0.759415145994652
1,"std",100,"omega",1.28498564164305
1,"std",100,"omega",0.42045510585466
1,"std",100,"omega",0.000343689632693065
1,"std",100,"omega",0.000356707542729736
1,"std",100,"omega",0.355928244256399
1,"std",100,"omega",0.499783310378319
1,"std",100,"omega",0.193760357475334
1,"std",100,"omega",0.879629975779658
1,"std",100,"omega",0.515983126885618
1,"std",100,"omega",0.535394542438272
1,"std",100,"omega",0.286468911317698
1,"std",100,"omega",0.404468281298281
1,"std",100,"omega",1.07173653895554
1,"std",100,"omega",0.325811239156904
1,"std",100,"omega",0.000199548064096342
1,"std",100,"omega",0.199298819292856
1,"std",100,"omega",0.00287857303831004
1,"std",100,"omega",0.000386433529639108
