"model","dist","n","parameter","Me","Mpe","std"
1,"std",100,"omega",-0.138144528339893,-0.150130720250767,5.15244141174726
1,"std",250,"omega",-0.184634719415435,-0.263524618924533,0.870195091696997
1,"std",500,"omega",-0.0910409159820647,-0.190575234973443,0.265579366159494
1,"std",1000,"omega",-0.028263936491188,-0.0916276304967698,0.127753893085969
1,"std",2500,"omega",-0.0209316926891183,-0.103784167095266,0.0542516360642539
1,"std",5000,"omega",-0.0111917192444348,-0.0778106720262077,0.0361307338198645
1,"std",10000,"omega",-0.0112095196338453,-0.103682007578693,0.059971292788603
1,"std",100,"alpha",-0.0791394715633443,-0.301366197995591,1.39572734873019
1,"std",250,"alpha",-0.0567482502245694,-0.293117195246989,0.0944077402511549
1,"std",500,"alpha",-0.0190984990273737,-0.143914434168259,0.0566636311434398
1,"std",1000,"alpha",-0.00458245541065957,-0.0492980428173206,0.0789973806617443
1,"std",2500,"alpha",-0.00336653428935881,-0.0535402364336618,0.0328730660638239
1,"std",5000,"alpha",-0.0019406152340243,-0.0416572950122469,0.0767034884973415
1,"std",10000,"alpha",-0.00290604391685118,-0.0828081272046693,0.0231725148905471
1,"std",100,"beta",-0.166281679736247,-0.528214777173246,0.894586633414835
1,"std",250,"beta",-0.10390843666398,-0.454856147896512,0.249281537561105
1,"std",500,"beta",-0.038534437380669,-0.275558089824113,0.0666214480188125
1,"std",1000,"beta",-0.00441319366794414,-0.0512850548275915,0.261358253928937
1,"std",2500,"beta",0.00667083883630431,0.117582629966009,0.478940341556
1,"std",5000,"beta",0.000878325153111516,0.0212132830285953,0.260294947062365
1,"std",10000,"beta",-0.00314544089235128,-0.0943688554256458,0.105739801402292
2,"std",100,"omega",0.158544173411018,0.274360443153042,16.3713508922937
2,"std",250,"omega",-0.0702387532931198,-0.16510305487796,1.0188618022183
2,"std",500,"omega",-0.0342118498702574,-0.122399986137522,0.809026008342932
2,"std",1000,"omega",-0.0190041122747195,-0.10257022810505,0.114410281225198
2,"std",2500,"omega",-0.00707210830929909,-0.0603234092764474,0.13295587283114
2,"std",5000,"omega",-0.0215694744118426,-0.209306857694408,0.179482172393012
2,"std",10000,"omega",-0.00979902571195262,-0.133454795664265,0.310782305899582
2,"std",100,"alpha",-0.0799150925677671,-0.207833689344158,2.56208219377571
2,"std",250,"alpha",-0.0604179162262979,-0.210658537656336,0.419871240096538
2,"std",500,"alpha",-0.0175034977535171,-0.0938097532024668,0.123392548414098
2,"std",1000,"alpha",0.00673907388935574,0.0546073162592685,0.0472932942563788
2,"std",2500,"alpha",0.00297197068769756,0.0344547542930133,0.0862338409859347
2,"std",5000,"alpha",-0.00830050567951636,-0.107761349901081,0.187478566155496
2,"std",10000,"alpha",8.91865985878579e-05,0.00158262492255716,0.305647460878495
2,"std",100,"beta",-0.176926631853197,-0.418199559261042,4.59717692296849
2,"std",250,"beta",-0.164814317385476,-0.555296248495328,0.540448593571894
2,"std",500,"beta",-0.0775331723206104,-0.48500784888608,0.361356944095121
2,"std",1000,"beta",-0.0260572287811727,-0.326159476014976,0.0539566805781953
2,"std",2500,"beta",-0.00843720006920019,-0.175813556914472,0.200262304962196
2,"std",5000,"beta",-0.0265787411509361,-0.484339742161207,0.11564914970731
2,"std",10000,"beta",-0.0156352936419921,-0.394143276092856,0.136388914475494
3,"std",100,"omega",-0.491729854113897,-0.367644074616352,4.67360293412405
3,"std",250,"omega",-0.535498535893695,-0.466731643848607,1.72655764638222
3,"std",500,"omega",-0.47436271750931,-0.450006340957108,0.818805285766159
3,"std",1000,"omega",-0.202610014375718,-0.270406119701324,0.663167505121086
3,"std",2500,"omega",-0.045634816065959,-0.109417051346121,0.273127455512352
3,"std",5000,"omega",-0.0233290732277499,-0.0845670194450838,0.117906567484759
3,"std",10000,"omega",-0.00800704279780307,-0.0423582802652293,0.0591383161139315
3,"std",100,"alpha",-0.0617652355651783,-0.433503800578057,0.4486579995554
3,"std",250,"alpha",-0.0496470744267937,-0.483203515984432,0.07084561570516
3,"std",500,"alpha",-0.0374156319332313,-0.447031537057655,0.0520913270645678
3,"std",1000,"alpha",-0.0161031749485504,-0.290175374770527,0.0339769883945501
3,"std",2500,"alpha",-0.00416541314566672,-0.130779255823122,0.0175770841274502
3,"std",5000,"alpha",-0.00144775936260691,-0.068916350311596,0.00863537650562266
3,"std",10000,"alpha",-6.45031110223637e-05,-0.00438850641236729,0.0236910152332478
3,"std",100,"beta",-0.128107218550656,-0.592214680666859,0.470688743284511
3,"std",250,"beta",-0.110231808173489,-0.589772885109136,0.22017591127387
