"model","dist","n","parameter","std_err","std"
1,"std",100,"omega",0.920161630538685,0.932813027639521
1,"std",250,"omega",0.7006355617511,0.602375847786495
1,"std",500,"omega",0.47771640420515,0.368561775647128
1,"std",1000,"omega",0.308465212272235,0.229926628491562
1,"std",2500,"omega",0.201684835702391,0.139084350020381
1,"std",5000,"omega",0.143832702545806,0.097447522000582
1,"std",10000,"omega",0.108114415370839,0.0691075205949994
1,"std",100,"alpha",0.262602349200762,0.244677436366971
1,"std",250,"alpha",0.19360259699794,0.168002482117619
1,"std",500,"alpha",0.132707321108906,0.104600970286378
1,"std",1000,"alpha",0.0929541042357478,0.0716705098075855
1,"std",2500,"alpha",0.0628785846609038,0.0441673457251921
1,"std",5000,"alpha",0.0465852435558712,0.031651169540355
1,"std",10000,"alpha",0.0350937041441425,0.021657645990401
1,"std",100,"beta",0.314799371244606,0.295574041994669
1,"std",250,"beta",0.228442414474347,0.197654439089254
1,"std",500,"beta",0.139841430187244,0.110504455029833
1,"std",1000,"beta",0.0860522365195919,0.0664152525036346
1,"std",2500,"beta",0.0567331997781707,0.0402319444707845
1,"std",5000,"beta",0.0414044894384118,0.0283502008333379
1,"std",10000,"beta",0.033331345157933,0.0196675538909315
2,"std",100,"omega",0.57786819261908,0.564443779712983
2,"std",250,"omega",0.425423704879588,0.378048949981782
2,"std",500,"omega",0.279508609027283,0.22417436260663
2,"std",1000,"omega",0.185279029069292,0.141387948732781
2,"std",2500,"omega",0.117236548698522,0.080774646019257
2,"std",5000,"omega",0.103051924095743,0.0579524056982658
2,"std",10000,"omega",0.0734258043195708,0.0402551974146126
2,"std",100,"alpha",0.384514622340334,0.386526585170324
2,"std",250,"alpha",0.286804973102313,0.273016840141282
2,"std",500,"alpha",0.186585052790192,0.164363296603603
2,"std",1000,"alpha",0.123409725124734,0.105106154572887
2,"std",2500,"alpha",0.0862572016164459,0.0667849034222742
2,"std",5000,"alpha",0.0770267418433024,0.0476473539625328
2,"std",10000,"alpha",0.0563535916291226,0.0343378963765293
2,"std",100,"beta",0.423067475646857,0.413908134100478
2,"std",250,"beta",0.29680430550732,0.275387888724263
2,"std",500,"beta",0.159859623918832,0.137538960320236
2,"std",1000,"beta",0.0798910677057142,0.0695095278026951
2,"std",2500,"beta",0.0479894737201901,0.0291228941287383
